id,titulo,Categoria_humana,cat_tfidf,cat_embeddings,cat_embeddings_e5,cat_embeddings_bge_m3,cat_llm_llm_1b,cat_llm_llm_3b,cat_llm_llm_8b,cat_llm_mistral_base
117473737,Gestão da floresta - Conservação e prevenção de incêndios,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,energia,ambiente e clima,ambiente e clima,agricultura e floresta
116743046,Terras de Bouro Reforça Medidas de Prevenção e Combate a Incêndios Florestais,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,defesa,ambiente e clima,ambiente e clima,agricultura e floresta
117729727,Equipa de sapadores já fez gestão de 19 hectares de floresta,agricultura e floresta,agricultura e floresta,segurança,agricultura e floresta,agricultura e floresta,agricultura e floresta,ambiente e clima,ambiente e clima,agricultura e floresta
116460264,"Projeto-piloto ""Vales floresta""",agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,energia,ambiente e clima,agricultura e floresta,agricultura e floresta
118761156,"SERRA DA ESTRELA Urze , Associação Florestal - Gestão de paisagem em 4 mil hectares",agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,energia,ambiente e clima,ambiente e clima,agricultura e floresta
117468688,Plano de intervenção permitirá gerir floresta para lá dos riscos de incêndios,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,ambiente e clima,ambiente e clima,agricultura e floresta
118781158,Municípios do Alto Minho apostam na defesa da floresta com a entrega de equipamentos às equipas de sapadores florestais,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,defesa,ambiente e clima,ambiente e clima,agricultura e floresta
119784497,Comissão aprova programa para diminuir ignições e proteger floresta na Lezíria do Tejo,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,ambiente e clima,ambiente e clima,agricultura e floresta
119114345,Góis - Associação da Serra do Açor investiu mais de um milhão na rede viária florestal,agricultura e floresta,território,agricultura e floresta,agricultura e floresta,agricultura e floresta,habitação,ambiente e clima,habitação,agricultura e floresta
119415791,Douro Internacional - Fogos deixaram marcas irreversíveis na paisagem e floresta do território de três concelhos do sul do distrito,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,agricultura e floresta,ambiente e clima,ambiente e clima,agricultura e floresta
119848198,Novo CTO do Estado “não intervém se surgir algum conflito de interesses”,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica
119806417,CTO do Estado assume hoje funções para colocar sistemas públicos a falarem entre si,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica
119856314,CTO do Estado quer tornar interação com serviços públicos mais ágil e inteligente,administração publica,administração publica,administração publica,administração publica,administração publica,segurança,administração publica,administração publica,administração publica
116778772,Governo insiste na nova entidade da Função Pública vetada por Marcelo,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica
